title,rating,body
Value for money or not?,4,"  So here is my honest review on this gadget. I hope you will find it helpful.:)Firstly, Redmi did a great job by introducing cheapest phones with trying to incorporate the features of mid range phones.  5⭐ for thatPros-•Low price, wont get any other phones in this range• Sleek design, handy phone which will easily fit in your hands and gives you a comfortable feel.•Good for basic usage.•Nice processing speed with sufficient storage for a basic use phoneCons:•camera is not so good dont expect your pictures to be like other phones of 12-15k range. Its an OKAY camera. I feel Could have done better for camera :)•Dont support fast charging. Today almost everyone wants fast charging phones as it is the new need for users now.Overall conclusion:  Go for it  if you are looking for basic use⭐"
Average,3,  A little bit slow..I think it will more lagged afterwards..Big screen.Camera is not good.. As well as selfie..Ph is For normal users..
Not up to the mark,1,  Not satisfied. No camera perfection. No finger sensor. Perfect China piece. Cheap and worst. Started hanging.
Nice deal in this price,3,  Pros-A big batteryBig screenGood lookNice processorValue for moneyCons-Poor camera quality both front and backDoesnt charge fastNo finger print sensor
Good entry level phone.however check what ur getting into,4,"  Good entry level phonePros: Big screen, MIUI12, Good batterly last for more than a day with average use,good cameraCons: single rear camera, no Corning glass screen,No radio, plastic back, 10w charger in box- takes long time to charge"
Lovely love you,5,  Lovely low budget mobile love u redmi nice look mobile
Fabulous....!,5,  Just Wow....!!!
Best phone under 7k no one can compitate,5,  Best phone you can get at this segment totally worth the amount you are paying
Don't buy this product,1,  Do not buy this phone Pretty slow the battery is not powerful Battery is equivalent to 3000 mah battery of other micromax phones.No screenguard/Headphone and case provided The speaker is inferior quality .Lots of eco sound.The processor is pretty slow.The video quality is also not up to mark
Scree size is too much narrow like 5 inch.  Mobille,1,  It's.  Cheating screen size 6.53 but too much narro . You can use only about 5 inch . And company has not write Anny pllace about screenn width size.6.53 is cover is in. Lenth ..So polease do not buy if. You want a big sacree mobile
Awesome product,5,  Very nice product thanks 😊
Ultra featured,5,"  DescriptionRedmi 9A comes with Octa-core Helio G25 processor and upto 2.0GHz clock speed. It also comes with 13 MP AI Rear camera along with 5 MP front camera. Redmi 9A also features 16.58 centimeters (6.53-inch) HD + display with 720x1600 pixels. It also comes with 5000 mAH large battery.Features & details13MP rear camera with AI portrait, AI scene recognition, HDR, pro mode | 5MP front camera16.58 centimeters (6.53 inch) HD+ multi-touch capacitive touchscreen with 1600 x 720 pixels resolution, 268 ppi pixel density and 20:9 aspect ratioMemory, Storage & SIM: 3GB RAM, 32GB internal memory expandable up to 512GB | Dual SIM (nano+nano) + Dedicated SD card slotAndroid v10 operating system with upto 2.0GHz clock speed Mediatek Helio G25 octa core processor5000mAH lithium-polymer large battery with 10W wired charger in-box1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchaseBox also includes: Power adapter, USB cable, sim eject tool, warranty card and user guideProduct informationOS AndroidRAM 3 GBProduct Dimensions 16.5 x 0.9 x 7.7 cm; 194 GramsBatteries 1 Lithium Polymer batteries required. (included)Item model number Redmi 9A (3GB+32GB)Wireless communication technologies Bluetooth, WiFi HotspotConnectivity technologies 802.11 a/b/g/n wifi, Bluetooth v5.0 wireless technology, USB 2.0, GPS, GLONASS, BeiDouSpecial features Dual SIM, E-mail, Accelerometer, GPS, Ambient Light sensor, Video Player, Music Player, Proximity sensorDisplay technology HD+ multi-touch capacitive touchscreenOther display features WirelessDevice interface - primary TouchscreenOther camera features 5Form factor Touchscreen PhoneWeight 194 GramsColour Midnight BlackBattery Power Rating 5000Whats in the box Handset, Power Adapter, USB Cable, Sim Eject Tool, Warranty Card and User GuideManufacturer RedmiASIN B08697KLZP"
Best value for money,4,  Mobile is best under 8000 3gb / 32 gb varient because its work very smoothly ignore negative review and please one humble request to seller stop selling made in china tag mobile i also receive made in China but phone is available in made in india branding overall phone is good one more problem screen is too much big
Good phone,5,  Best product at low price
Awesome I love it.⭐⭐⭐⭐⭐,5,"  Awesome phone I used from 2days no problem i found only charging is slow plz update to fast charge,⭐⭐⭐⭐ battery backup is super, ⭐⭐⭐⭐⭐Big display ⭐⭐⭐⭐⭐Camera is good ⭐⭐⭐⭐⭐thq Amazon forfast delivery,⭐⭐⭐⭐⭐Thq redmi for giving budget phone. 🥰😍🤩"
Made in china,1,  During visit Amazon's site mobile manufacturer details  Made in India but product received made in china!!!!!!!I purchased two mobile same model different date.First product made in IndiaSecond product made in china
Good,3,"  Good, Purchased for my dad."
Value for money,5,"  Value for money .PROs-ULTRA BATTERY SAVING MODE10X ZOOMSPECIALISED SCREEN FOR READING MODEVERY BIG SCREENMIUI 12ANDROID 102GHZ PROCESSOR20 GB SPACE FREE5000mah BATTERYPRO MODE IN CAMERAVOICE OVER WIFISPLASH PROOF .CONS-ONLY NORMAL 10W CHARGER ,MICRO USB , NO TYPE C CHARGER,NO SUPPORT FOR FAST CHARGING,NO GORILLA GLASS,DUE TO PROCESSOR , PHONE FEELS A LITTLE SLOW ( IT IS NOTICEABLE TO ME BECAUSE I USE HIGH END PHONE 😝😁),THANKYOU.(genuine review guys 😎)."
Best in it's price range,4,"  Mobile looks good and it's worth the price. Cheap and best of its price range. Camera quality is very bad, but in this price we can't expect much. I suggest for basic usage.. one can prefer this product . Like for online classes and other academic purposes."
"Waste of money, Worst customer service.",1,"  I am never going to buy any electronic product from amazon anymore. Experienced worst customer service. Product is not upto the mark. Over heating, network connectivity issue was there. They were using their aaps to dignose in which everything will be showing normal. The same aap can not be used in any other phones for checking. That means this aap is specifically designed by amazone for amazon bought mobiles. You will never know if this is correct or not. Based upon that refund/ replancement will not be done. Amozon update your customer service otherwise if customers make you customers can also break you. After 2 days of continuos chasing no result. Wasted Rs 7498/-."
Good Budget Phone for normal uses,3,"  Good Budget Phone for normal usesPros :- Big battery, big display, nice touch, processor speed good in this range.Cons :- Worst camera, no finger print lock, made in chinaFinal opinion if you want to buy for camera not suggest, otherwise okay okay performance for daily normal uses.Finally Disappointed with Xiomi Redmi Brand with this phone."
Not a purchase this product,1,"  Very poor camera Or long time, charging battery I am not satisfied from mi 9a comparison 8a is  a good product so it is a downgrade product"
Good price product,4,  Good product
Not recommended and a cheating,1,"  Amazon is now becomes a cheater, there is no way to return the item..it has below shortcomings..Poor Camera quality, though it has feature for Portrait and Landscape but in landscape mode the clicked pictures are blurred...Poor battery performance, the 5000mAh battery is so poor that it significantly heats up entire phone within  2-5 minutes and drains the battery. Weight is also quite more.I tried to return the item, it says have a test with some software or talk to technical team (after uploading no. of things, very tedious), there are many sites in which you can have hassle free return...You will get frustrated and defiantly could not be able to return the item..there is no way to interact on email and call..so select the items very very carefully..otherwise they are sitting there to cheat your hard earned money...be careful.."
Not worth,2,  9A  <  8Adisplay low bright.  .good in 8aBuilt quality low.  .good finish qualitySound is low.  .sound is good10w normal pin.  .18w speed charg720p in youtube.  480p in youtubeGlass is normal.  .g5 glass
Don't waste your money...,1,  Plz guy don't buy this phone.... This is made in Chaina product ... It have poor camera Quality poor Sound Quality and poor Build Quality...
"VoLte, VoWifi Not working!!",1,"  With Airtel Sim, neither VoLte and VoWifi are working in my phone. Airtel Thanks app is showing your handset is 4G but not VoLte compatible. Same thing in Vodafone. Is anyone else having this issue? Asked for replacement. Let's see what amazon do with this issue!Update: After my complaint, Amazon replaced my phone with a brand new piece. But the same issue happened with it also. So again I complained and I am so thankful to Amazon that they took my phone back and told me that they will refund my money. Phone was taken back, just waiting for my refund now.If you have a Jio sim, just go for it. It is an awesome phone but If you are Airtel or Vi customer then there will be some issue with VoLte and VoWifi."
Sea Blue ?? DARK BLUE IT IS....,3,"  The listing states SEA BLUE color.... Well its DARK DARK BLUE (Indigo/Purple type); so very disappointed there..otherwise Phone is overall good...4 Stars for Phone specs,2 Stars for wrong Color mention,So Overall 3 Starts Avreage!!"
We buyers must also do our homework before buying a high-tech product.,1,"  I want to share a live (semi-positive) experience with Amazon a week back. I purchased a Redmi 9A phone for my grandson on 21 Dec. The phone came on 24th, but wouldn't boot. I spoke to Cust Service, and they quickly arranged a replacement, but the delivery boy wouldn't give the new one because he couldn't get the IEMI# from inside the phone (which couldn't be booted in the first place). Another call to service, and somehow it got resolved and we got the replacement. And lo! - that too wouldn't boot🥵Another round with service asking them for refund, but the delivery boy refused to pickup the replacement because #IEMI didn't match (AGAIN 😢😢).Finally - probably after divine intervention-I was connected to a sympathetic service person who realised what was all this hullabaloo with IEMI#. Then the (second) bad phone was picked up on 1st Jan, and the money was refunded almost instantly. My daughter went to a real shop and purchased a Samsung M01 for her son the same day❗Moral of the story: When you are buying things you don't know anything about, buy from a KNOWN, LOCAL supplier 🙏"
China DESH KA PHONE......,3,"  Why do you advertise this phone as DESH KA SMARTPHONE. Did you know, What is the meaning of DESH?. I thought of buying a phone by made in India. But Amazon delivered to me a phone by made in China. Not just the phone, the charger and charging cable are made in China!. If we buy a smartphone at a discount, will you behave substandard manner?"
DEFECTIVE,1,"  MANUFACTURED FAULTY & DEFECTIVE CONTACT SAVING MODE SPACEBAR CAPS NOT WORKING,PH IS LAGGING, CAN'T FIND SECOND SPACE (DUAL APPS) SETTING. ARRANGE NEW PH WITH ORIGINAL TEMPER GLASS AS WE SPENT 475 INR"
"Value for money, feature packed phone under 8k",5,  Pros:-1)has single camera but is very powerful2) processor is great3) build is amazing4) display is bright and contrasty and highly customisable5) big screen6) 3 gb of ram7) miui 12 out of the boxCons:-1) hd+ display2) no fingerprint3) bloatwares pre-installed**P.S:- no slow-mo mode**
Video Audio quality.,4,"  Phone is good and battery backup is very nice,working long time. But one thing i faced that i bought on first sale i found one problem that video recording audio not good very low hearing then i returned that one and get change  with new. After getting new one i found that problem is same and that not problem its phone problem. Phone video recording audio is very low compare to others phone. I can't hear clear voice in even low distance recording."
Best for Average usage.,5,"  Overall mobile is good for an average usage. Its camera, audio quality is average to good. Its performance is very good because of good internal storage.Handy as well as the screen is quite wide and provides good viewing angle.Plus point is its battery which is quite huge. Has microusb slot and charger is of 10W thats why charging might be somewhat slow (not that fast)If you want the mobile for an average usage then this can be a best deal for you.I got this 2gb Ram 32gb Rom varient in 6800 Rs.Or if your usage is high i would recommend to go for some other Redmi products for price beyond 8000 to 9000.Below 7000 this product gives satisfactory performance."
Leaves a sour taste,1,"  Pros:1. Performance is Ok, for the price.2. 2 SIM + 1 Micro SD Card Slot, i.e. no hybrid slotsCons:1. Too many advertisements and installs 3rd party apps forcefully. This is not mentioned in the listing. This should be made mandatory. But thankfully practically almost everything can be uninstalled.2. Micro USB port for charging is unacceptable in 20213. Used a MIUI based phone long time ago, somehow I feel it has become much worse and confusing. Even changing your notification sound or ringtone takes some effort and a little bit of scratching your head. They should include a manual LOL."
Very Nice budget phone.,5,"  Ordered Redmi 9A 3GB 32GB version, sky blue for my mother 2 days ago. Delivery was quick. The delivery guy also opened the package on request for assurance. Got the product as ordered.Initial impressions:Pros:Large screen, Nice color, good processor, ample RAM for daily normal user, good battery backup, drains very gradually even if you are on calls whole day. Removable stock apps, so no need to bother about forced updates for them. Back cover gives you a grip so it won't slip. Display is overall good.Cons:The phone weight is on the heavy side, due to large battery.Camera is not good in low light conditions. (Very good in daylight or external use.)One of the best phones available in the market at this price. I have given it 5 star for specifications in this price range. I ordered it with an offer.. More than what you can get from any other Indian brand in 7000 rs."
"Very Fast, Superb Video Calling Clarity",5,"  I was using iPhone 6s Plus and when I got this phone for Rs. 7,500, I was surprised ! It have more display clarity and camera clarity than my iPhone. Also it is as fast as my iPhone. Mi have combined All features of ios and Android in this Phone, that make this phone special compared to other Android Phones. Its OS is Mi modified version of Android. The modified version is very intelligent and smart. It have removed all the disadvantages of Android Phones. It have iPhone features like Face unlock, time lapse video, burst mode and exposure increase and decrese in camera etc.Sound clarity also superb.My Brother in the US have amazed to see the better clarity of video calling than my previos iPhone."
Awesome Smartphone,4,  #Good Phone#Battery Good#Display Good# All Good ✔️😍
Nice product best choice for Bettary life,4,"  This budget phone for bad,mom, and others famaliy members..fir gift. Tha phone has a big battery life.. very good for those people who what To travel"
Highly Recommended for Basic to Medium Usage,5,  If you're a low to average user -  the go for this model without any doubt.Nice colorAvg cameraNice Huge display for this price rangeGood battery backupMIUI 12 has added some additional advantages to this phoneBest for parents!
Value for money.,5,  Just now received phone. First look great design and display size at this price tag. Speed for normal usage is looks fine. Overall value for money.
Basic android smartphone,5,"  A basic android smartphone for basic android experience. If you're looking for an entry level smartphone with android os then this is a phone for you. This model packs a 3gb ram and 32gb internal storage which is more than sufficient for your daily needs from Facebook to YouTube and anything in between. If you want a basic android experience or just want a phone for your daily driver this one is for you. Do note this ain't optimal for heavy duty gaming. Casual gaming yes, but not heavy duty gaming."
Best buy for 6799/-😉,4,"  It is a good phone for students who have online classes and those who use phone just for basic needs,i bought this phone for my mother ,she liked it,and she mentioned that it has weight compairing to other phone...may b coz of its battery and design..idk...its smooth and display wise good...i am really happy to buy this phone to my mother...she loved it😍😍"
Optimum Combination,5,  Best Price Best Experience Optimum Combination
REDMI 9A,5,"  XiaomiRedmi 9AGet Price Drop AlertKey SpecsDisplay6.53-inch (720x1600)ProcessorMediaTek Helio G25Front Camera5MPRear Camera13MPRAM2GBStorage32GBBattery Capacity5000mAhOSAndroid 10Market StatusReleasedRelease Date30th June 2020Redmi 9A SummaryRedmi 9A smartphone was launched on 30th June 2020. The phone comes with a 6.53-inch touchscreen display with a resolution of 720x1600 pixels and an aspect ratio of 20:9. Redmi 9A is powered by a 2GHz octa-core MediaTek Helio G25 processor. It comes with 2GB of RAM. The Redmi 9A runs Android 10 and is powered by a 5000mAh non-removable battery. The Redmi 9A supports proprietary fast charging.As far as the cameras are concerned, the Redmi 9A on the rear packs a 13-megapixel camera with an f/2.2 aperture. It sports a 5-megapixel camera on the front for selfies, with an f/2.2 aperture.The Redmi 9A runs MIUI 12 based on Android 10 and packs 32GB of inbuilt storage that can be expanded via microSD card (up to 512GB) with a dedicated slot. The Redmi 9A is a dual-SIM (GSM and GSM) smartphone that accepts Nano-SIM and Nano-SIM cards. The Redmi 9A measures 164.90 x 77.07 x 9.00mm (height x width x thickness) and weighs 194.00 grams. It was launched in Midnight Grey, Peacock Green, and Twilight Blue colours.Connectivity options on the Redmi 9A include Wi-Fi, Micro-USB, FM radio, 3G, and 4G with active 4G on both SIM cards. The Redmi 9A supports face unlock.As of 24th October 2020, Redmi 9A price in India starts at Rs. 6,799."
"Most pathetic product - BE warned - DO NOT BUY !!! Battery, Memory and Bandwidth hogging phone.",1,"  This is the most pathetic product that I have ever had the misfortune to buy on Amazon - and you cannot return the product and hope to exchange it for something else because they do not permit ""RETURNS"" only ""REPLACEMENT""  - WITH THE SAME GODFORESAKEN PHONE!!!!!""It comes preloaded with MIUI and other inefficient memory, bandwidth  and battery draining bloatware and constant advertisements all over the place  - and there is no way you can disable them - by buying this phone you are compromising your data and security and paying for an advertiser to constantly bombard you with adverts for thoroughly useless products -  and you have to pay for the bandwidth he uses up.In an attempt to get rid of MIUI you cannot even flash a custom ROM like LineageOS or some of the other AltROMs cause the manufacturers of the device will not share the code. SO IF YOU'VE BOUGHT THIS DEVICE YOU ARE STUCK.Do not buy - if you happen to have paid for it then your fate is sealed - you cannot hope for a refund ---- better to spend that money on buying some cow dung - might help make a cow happy!"
Nice Phone for doing normal works,3,"  This phone is helpful in basic things, camera quality is not good at all, specially rear camera is not good it is really a 8mp camera but Redmi is saying it 12 or 13 MP...making fool to customers. Overall it is good for taking online classes, making calls, using whatsapp but not for gaming, you can play normal games but if you play games like free fire, it starts heating and lagging. Battery is actually 4800 mAh.."
"Durable phone, worth every single rupee!",5,"  I ordered the phone during amazon 1-month deepawali sale, when it was selling for Rs 6,800. I exchanged my old Redmi phone and got further Rs 3,600 off. Plus I made the purchase using HDFC Bank credit card and got 10% cashback. Net net, i got the phone for Rs 3,150.But buying the phone at a cheap price wasn't the highlight. Its performance has not disappointed me.The features have upgraded and the Redmi-9A offers more bang for the buck. Features are intuitive and easy to use. My contact list was restored in no time.The 13MP camera is really good and, in my opinion, as good as an iPhone. I am exploring the phone's features and it has been a pleasant experience for me.If you are looking to upgrade your phone then PLEASE DON'T LOOK FURTHER!Rajagopalan VBengaluru"
Worth for the money,5,  Worth for the money.. I dont see similar features in other brand for this price range. My parents liked it very much... Wish they added some headphones to this. The color really pop's I was little hesitant while ordering about the color. But it's beautiful 😍😍😍
DEFECTIVE PRODUCT RECEIVED,1,"  The bad news was that I received a defective piece (what I feared the most because many customers posted review about defect). The good news was that my refund was processed on the same day as I filed the complaint with picture proof as attached here as well and I received the refund amount within 3 days.Plus, there were these black parallel horizontal lines on the screen, which I just couldn't understand why it was there. The phone looked pretty good (colour and built wise). Maybe would have been a nice one if I hadn't received a defective product."
JUST GO FOR IT.. 🤩,5,"  Amazing phone in such a low price.Great don't hesitate to buy if it doesn't have a fingerprint sensor because it has a very quick face recognition, don't hesitate to buy if it doesn't have dual Or tripple cameras because its single camera beats most of the dual and triple camera phones, don't hesitate to buy if it doesn't have a fingerprint sensor because it has a very quick and last thing don't think like its cheap so obviously it will have poor looks and downgraded, no in this phone this isn't the case. Overall I'll give full stars and attaching some samples which have been slightly edited with In built editor.."
Excellent Price!,4,"  I bought this phone in the sale for a ridiculously low price. Firstly if you are someone who uses a lot of apps then this phone is not for you. It is a basic android phone which can be used for photos, WhatsApp and a few others. For the price, one shouldn't expect more. If you load a lot of apps expect the phone to go slow.The build quality was surprisingly excellent and the call quality was also good. Watching videos was also good.Frankly, for this price, I cannot complain about anything.Excellent buy in my opinion."
A good exchange offer,4,"  Pros. 1. This was bought on exchange offer, and I got a good price for my old phone. The exchange was smooth and there were no issues. Was very happy with the transaction.2. I have had it for just two weeks. So I cannot comment on durability, etc. No problem so far. Everything is as described on the Amazon page.3. The phone looks good and I am happy with the purchase.Cons.  Because it was an exchange transaction, the phone was not delivered as fast as for a full cash transaction. I ordered on 25 January and got the phone on 6 February. But I was kept updated about possible delivery dates, etc. So I was not worried.All in all, well worth it."
Good product,4,  The product is good in this price range and as a xiaomi lover you can buy it
Cheap phone with lots of incorrect details,2,  The camera provided in the phone is not  13mp at all.Picture quality is not good and it does not reflect the true colors.its ok that it is a cheap phone but atleast they should mention the correct configuration. If you compare camera picture quality with nokia phones I must say that 2mp camera in nokia made phones have better picture quality that 13mp of this phone. Its OK that this is vewry cheap phone but customer should not think that they will get a 13mp camera. Samsung or nokia make phones with 8mp camera might have better picture quality.rest i can write once i use this phone for a month.
Good and affordable,5,  Very cool phone at this price and camera is average but overall I would recommend choose Redmond over realme
